title,date,company,location,area,salary,description
Graduate Analyst Programmer,9 Feb 2021,Blue Crystal Solutions Pty Ltd,Adelaide,Developers/Programmers,Full Time,"Blue Crystal Solutions is a trusted and respected leader in cloud, infrastructure, database and application services throughout Australia. Our depth of knowledge in these fields enables us to deliver unrivalled value to our customers. ,We are continuing to grow and are looking for a , to join our Adelaide based team. We are interested to hear from passionate and highly motivated graduates,willing to learn new skills and become an integral part of our highly skilled customer support and development team. ,We expect any new addition to our team to demonstrate our core values: Leadership, Teamwork, Responsibility and Innovation.,The ideal applicant will also have experience with or understanding of:,We offer rewarding opportunities for proactive technology professionals, blending a social environment of highly skilled and dynamic people. We place a high importance on regular staff social events to drive a collaborative and inclusive culture. ,Key rewards and benefits for our people:, ,We offer flexible work arrangements that promote our people's wellbeing and opportunities to drive innovation and thought leadership.,Permanent Australian residency is essential.,If you feel your skills and experience match the above criteria, please send your resume to: ,For more information about Blue Crystal Solutions, see our website at:,http://www.bluecrystal.com.au "
Data Analyst,26 Jan 2021,MADEC Employment and Training,Mildura & Murray,Analysis & Reporting,Not-for-profit Tax Saving benefits available!,"We are seeking a Data Analyst who is up for the challenge of working with high volumes of data in a fast paced environment and contributing to process improvement within the team.,Supporting our labour hire and seasonal worker payroll teams, the responsibilities of this varied role include:,There are a number of legislative, compliance and business needs which must be met, however we want you to use your knowledge of Excel and systems, along with your problem solving skills, to find the best ways to continue providing a quality service to our host employers and employees.,You are a go-getter with a positive and approachable manner, looking to commit to your next role and contribute to our growing organisation. You use your advanced computer skills, particularly in Excel, and analytical mindset to transform data into clear, accurate information and you can communicate with all stakeholders in a pleasant and concise manner. Your confidence in building reports and using systems to create efficiencies within the team will be the key to your success. Experience in a payroll, accounting or human resources environment will be highly regarded, however is not essential.,A police check is required on commencement.,MADEC is both values based and KPI driven; it is this unique combination that makes us highly effective and lead providers in what we do, it also makes MADEC a great place to work. As a not-for-profit organisation, we offer salary packaging to the value of $15,900 per annum, and tax free entertainment expenses. ,Please contact Kylie Dew, Finance Manager on , or email "
Group Pricing Analyst,10 Feb 2021,,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,"MetLife are a leading provider of life insurance and retirement solutions, partnering with employers and super funds to help more Australians create a lifestyle they love.,As part of a collaborative and supportive team, this role will see you supporting the the Group Pricing Manager in carrying out the pricing and experience analysis for Industry Super Fund insurance products., , , ,Based in our Sydney CBD office, this permanent opportunity will offer the successful candidate a modern, fun and collaborative working environment, offering a competitive remuneration package of $60,000 to $70,000 commensurate with skills and experience., , , ,To apply, please send your resume to aupeopleculture@metlife.com, , "
Graduate Operations Coordinator,29 Jan 2021,,Sydney,North Shore & Northern Beaches,Full Time,"We are looking for two enthusiastic and motivated candidates to join our young and passionate team. This is a fantastic, early-stage career opportunity that would suit a recent university graduate. At just over four years old, the Look Who’s Charging (LWC) team are at an exciting stage of growth, working with Australia's top banks as well as expanding abroad. Our market leading technology is a global first solution saving people, merchants and banks time and money by identifying who has charged a card.,This role would best suit someone with data entry and analysis experience. Each successful candidate must have advanced knowledge of Microsoft Excel and exceptional web research skills. In addition to this, we require an excellent understanding of both verbal and written communication in English. People skills are important as you will be required to work effectively with other members of the LWC & Experian teams.  An organized and diligent approach to all tasks is expected in this role, as are good time management skills., , , "
Data Analyst / Administration Manager,13 Feb 2021,FRHP Holdings Pty Ltd,Sydney,Parramatta & Western Suburbs,Full Time,"Pace Farms is a second generation family business in Sydney's West, built from the ground up and one of Australia's most recognised names in egg production and supply. This opportunity is within Pace Farms transport division - MWP Transport.

Growth and business development has created an opportunity for a dynamic, experienced transport administrator, with the ability and desire to learn new skills from experienced data analysts and developers and at the same time, administer all aspects of our NHVL compliance."
Data Analyst,9 Feb 2021,Hays Banking,Melbourne,CBD & Inner Suburbs,Contract/Temp,"Hays is proud to be supporting NAB in the recruitment process of Data Analyst. Apply now!!, , , To be successful with NAB you will go above and beyond to achieve great results for the customer, the company and yourself. NAB is passionate about diversity and inclusion and will guarantee you are a valued member of their community. NAB's core values include, passion for customers, will to win, be bold, respect for people, and doing the right thing., , , To provide support to operations teams ensuring NAB meets its obligations in relation to :, , , , , , In exchange for your commitment, you will be offered :, , , , If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to , , or call us now., , , , LHS 297508"
Geospatial Analyst,10 Feb 2021,Aethon Aerial Solutions,Brisbane,CBD & Inner Suburbs,Casual/Vacation,"Aethon Aerial Solutions Australia provide Aerial Surveying to Energy Companies throughout Australia and New Zealand. We are currently seeking a casual Geospatial Analyst to join our production team based in Paddington. ,Aethon pride ourselves on our unique technologies and collaborative approach in achieving results. Along with the responsibilities and skills listed below the successful candidate will be friendly, approachable and keen on maintaining our existing office culture. , ,Technical Skills:,Soft Skills:,Qualifications:,Applicants must have working rights in Australia.,Please submit a cover letter and resume by pressing Apply Now."
Data Scientist,5 Feb 2021,Sweat Pty Ltd,Adelaide,"Mathematics, Statistics & Information Sciences",Competitive salary with great culture and benefits,"Sweat is one of the world’s largest digital platforms for women’s health and fitness, offering women around the world the best advice, education and workouts to support them on their health and fitness journey. With five of the world’s leading female fitness trainers, Sweat currently reaches a community of over 50 million women around the world. The Sweat app is available in more than 155 countries and in 8 different languages.,Data plays a key role in helping Sweat empower women through fitness. The Data Scientist is responsible for using data to understand our members, drive product improvements, and inform the future direction of Sweat. The Data Scientist will work with key stakeholders across the business to inform decisions relating from anything to product, advertising, marketing and strategy.,As Sweat’s Data Scientist, you will work closely with other members of the Data & Analytics team to;,Key responsibilities in this role include;,We are seeking applications from candidates who can demonstrate;,Please apply via Seek by submitting your resume and a cover letter. Applications close 9am Monday 22nd February.  Applications may be reviewed and progressed prior to this date.,Sweat is a diverse and inclusive employer. Please let us know if you require any adjustments to the application process to enable you to apply.,Learn more about us at www.sweat.com or contact us at ,."
Data Analyst,8 Feb 2021,Modis,ACT,Other,Contract/Temp,"One of our government client in , seeks the services of a ,for a ,Our client has developed a Data Management Strategy (DMS) and implementation roadmap. Developing the DMS has identified the need for a comprehensive and fit-for-purpose data and information governance framework.,Due to new privacy laws regarding the collection and handling of personal information, all applications must be submitted online. Once you click on the , button below you will be directed to our Online Centre where you will have the opportunity to read and agree to our Privacy and Collection statements and it will allow your details to be formally lodged and processed correctly.,Alternatively, if you would like more information on the role, please contact Ankit on ,via email on ,is a national professional services company with global capability. Our committed and talented professionals have delivered world class IT and business consulting services across a wide range of industries. As a member of global professional services group Adecco, we offer world-class employment opportunities."
APS3 / APS4 Data Analyst,15 Feb 2021,Karlka Recruiting Group,ACT,Government - Federal,Contract/Temp,
Big Data Engineer - AWS ,20 Jan 2021,Hydrogen Group Pty Ltd,Sydney,Engineering - Software,Contract/Temp," , My client is one of the fastest growing retail organization are continuing their data journey and are hiring for Big Data Engineer within their Sydney Office., , , , An experienced Big Data Engineer you will be responsible for developing and driving the overall strategy and vision for data., Hands on Big Data Engineer will be responsible for data pipeline architecture and Data Analysis working on AWS platform., , , , With both permanent and contract positions available we encourage candidates with skills in the above area to contact the team at Hydrogen for confidential discussions. We are seeking intellectually capable, personable and change driven individuals who want to be part of a market leading consulting organisation. First class communication skills in both the written and verbal form will be required., , , The opportunity to work with world class thought leaders in the digital transformation, Big data, Data science, RPA and AI space. International and local career progression., ,..."
GIS Analyst,14 Feb 2021,,Brisbane,CBD & Inner Suburbs,Full Time," ,Integran is a specialised consultancy, employing a broad range of skills to deliver unique, innovative advisory services to our public and private sector clients. The client base spans across Australia, with projects in QLD, NSW, WA and South Australia.,Integran seeks to expand its team by finding a suitably experienced and motivated individual to join the company. We are leaders in the field and are excited to be expanding our offering through our new digital twin software which will form part of the role.,Integran is client focused delivering quality solutions and dependable relationships, adds value through innovation and leading edge thinking, strengthens its brand through noteworthy project endeavours and works to a set of agreed team values. If this sounds like the organisation for you, please read on….., , ,This role requires a candidate who can apply their skill set effectively and rapidly to develop capability to deliver quality advice to our range of clients.  As a GIS Analyst you will be working with a team of experts in an emerging and exciting professional area. The role is 'hands on', where you will be responsible for the production of client deliverables along with a range of tasks to service our client base.,Working alongside related professional disciplines including strategic planning, surveying, engineering, asset management and finance you will play your part. The work is diverse from government policy development to urban development and land use and infrastructure planning. It will also involve working with our own spatial software platform contributing to its development in the course of your work.,As a candidate you will be well presented, knowledgeable, hardworking and a self-starter to align with the values of the firm. , , ,Above all we are looking for candidates that are:,Your experience shall include some of the following: ,You shall have skills in:,Please apply through Seek, submit your CV along with a detailed covering letter clearly explaining how your skills and experience would address the desired skills and experience to benefit Integran within the role offered.,Applications close Friday , "
Research Analyst,4 Feb 2021,McGregor Tan Research,Adelaide,Market Research & Analysis,Full Time,"McGregor Tan is South Australia's most well known and trusted market and social researcher. For over 45 years we have built a reputation for trusted and insightful research and are committed to leading the future of market and social research in Australia. ,We have an exciting role for a quantitative research analyst with 2-3 years of experience to help the Insights Manager across all aspects of project management, including client liaison, questionnaire design and a strong emphasis on analysing and reporting.,Qualifications in business, data science, economics, psychology or marketing is preferable, although work experience in market research is valued strongly. ,To succeed in this role, you must have excellent Excel and data visualisations skills, and be able to translate data into a narrative that speaks to our clients.,SPSS or Q skills will ensure you will hit the ground running, but can be taught to the right person.,The core attribute of an analyst is to be curious by nature, and be committed to learning and growing your career.,We are open to a part-time role if you are the right candidate, and have some flexible work from home arrangements in place.,We are a family-owned business here in SA with a national outlook, we are hard-working but respect a positive work-life balance.  We are impacting on large social policies across Australia, and the work we do informs business and policy decisions each day."
Big Data Engineer - AWS ,29 Jan 2021,Hydrogen Group Pty Ltd,Sydney,Engineering - Software,Contract/Temp," , My client is one of the fastest growing retail organization are continuing their data journey and are hiring for Big Data Engineer within their Sydney Office., , , , An experienced Big Data Engineer you will be responsible for developing and driving the overall strategy and vision for data., , Hands on Big Data Engineer will be responsible for data pipeline architecture and Data Analysis working on AWS platform., , , , , , With both permanent and contract positions available we encourage candidates with skills in the above area to contact the team at Hydrogen for confidential discussions. We are seeking intellectually capable, personable and change driven individuals who want to be part of a market leading consulting organisation. First class communication skills in both the written and verbal form will be required., , , , The opportunity to work with world class thought leaders in the digital transformation, Big data, Data science, RPA and AI space. International and local career progression., , , ,..."
Junior Software Engineer & Robotic Operator-ML & Data Analytics (AgTech),1 Feb 2021,Agerris Pty Ltd,Melbourne,Western Suburbs,Full Time,"Agerris is a rapidly growing robotics startup which is building a sustainable agricultural industry through the development and deployment of outdoor intelligent robotic systems (www.agerris.com).,We are seeking a Junior Software Engineer to join our growing engineering team.  The role will be varied, challenging, and require strong programming and analytical skills. This role may require you to travel for short periods of time inter and intrastate.  The role is an opportunity to work on rewarding and challenging projects with the possibility of advancement as the business grows.,Machine Learning Lead,You will be someone who is a constant learner, natural problem solver and someone who knows how to get things done while in the field. The position will require you to: "
"Junior Data Engineer, Service Desk",4 Feb 2021,BizCubed Pty Ltd,Sydney,North Shore & Northern Beaches,"$50,000 - $69,999","BizCubed is looking for an energetic and enthusiastic Junior Data Engineer to join our small Service Desk team, which is the core function of our engineering firm.,You will be on the front-line of delivering our cutting-edge data engineering platform. Your job will be to ensure that it is fully operational and running clean of any issues in all our Customer’s environments. You will work with our customers every day, helping them achieve best-in-class analytics solutions.,This role expects you to be passionate about delighting our customers and will require you to think creatively and logically to ensure we deliver best in class service within the definitions of the program and the contracted services.,Internally, you will improve our ways of working by identifying pain points and automating the repeatable.,As you will be at the cutting edge of analytics technologies and capabilities, on-the-job training and learning while you work are a key aspect of your day in order to deliver for your customers.,Your customers are some of the most recognized companies in Australia and you will be helping them to use data to make better decisions each day.  The role will combine your technical and customer engagement skills to supply superior value to our customers.,Submit your CV , a Cover Letter telling us about:"
Start your new career as a Data Analyst,15 Feb 2021,The Data School Pty Ltd,Sydney,"CBD, Inner West & Eastern Suburbs","$56,000 - $59,999","The demand for great , and , has never been higher than it is today. There simply aren't enough to fill the positions being advertised., is creating the next generation of first-class data analysts and data scientists.,If you are passionate about data, we have the best way to get you into your new data career.,The successful applicants will be immersed into 4 months of intensive classroom training based on the market-leading technologies, ,and ,. ,In addition, you will be trained by our team of experts in all the soft skills needed to become an outstanding consultant.,The classroom training is followed by four 6-month client engagements with Australia's leading organisations to give you real-world experience to kick-start your new career.,Yes. The Data School offers you a competitive salary while you study and gain valuable industry experience.,The Data School takes new consultants three times each year. The starting dates for each round is April, August and November.,The applications for the August 2021 intake close on the ,Become a guru in Tableau, the market-leading data visualisation technology,  ,  ,Here at the Data School, we don’t look at what’s on your CV or your experience. What we ,looking for is:,We do things differently and we’re proud of it. So forget about the application process you might be used to.,Here’s how the process works:,We are taking applications at all times. If you share the same inquisitive nature, have a passion for getting to the truth by way of data, then we’d love to hear from you!"
Associate Data Engineer,27 Jan 2021,,Perth,Developers/Programmers,Healthy package on offer + Annual Salary Review,"To us here at Cashies, we believe in being passionate & proud, tenacious problem solvers that just get stuff done! We are a down to earth bunch that pride ourselves on helping people (customers and employees alike), to unlock possibilities in a no-nonsense, non-judgemental approach. In other words, we are pretty cool., ,Our International Head Office is based in the heart of the Perth CBD and shortly we are moving to new, modern offices. We work with a very cool bunch of people and some amazing minds that will see you learn, develop, grow, and propel your career forward.,We also have a great culture! Fresh fruit, social events, Christmas parties, award nights, service recognition, morning tea business updates, flexible working hours and working from home opportunities, just to name a few., ,At present our Data Science team are looking for an associate data engineer to join their team of four. Your role will include:,What we are looking for:, ,This team is technically brilliant and willing to grow the skillset of the successful candidate. If this sounds like your next opportunity, apply today!, "
Start your new career as a Data Analyst,15 Feb 2021,The Data School Pty Ltd,Melbourne,CBD & Inner Suburbs,"$56,000 - $59,999","The demand for great , and , has never been higher than it is today. There simply aren't enough to fill the positions being advertised., is creating the next generation of first-class data analysts and data scientists.,If you are passionate about data, we have the best way to get you into your new data career.,The successful applicants will be immersed into 4 months of intensive classroom training based on the market-leading technologies, ,and ,. ,In addition, you will be trained by our team of experts in all the soft skills needed to become an outstanding consultant.,The classroom training is followed by four 6-month client engagements with Australia's leading organisations to give you real-world experience to kick-start your new career.,Yes. The Data School offers you a competitive salary while you study and gain valuable industry experience.,The Data School takes new consultants three times each year. The starting dates for each round in Melbourne is,The applications for the June 2021 intake close on the,Become a guru in Tableau, the market-leading data visualisation technology,  ,We’re sorry – we can’t sponsor you, so make sure you have full working rights for Australia,  ,Here at the Data School, we don’t look at what’s on your CV or your experience. What we ,looking for is:,We do things differently and we’re proud of it. So forget about the application process you might be used to.,Here’s how the process works:,We are taking applications at all times. If you share the same inquisitive nature, have a passion for getting to the truth by way of data, then we’d love to hear from you!"
